#real_cutoff=5
#reciprocal_cutoff=3
#r0 - r0 : [0.0, 0.0, 0.0, 0.0]
#r0 - r1 : [0.0, 0.0, 0.0, 0.0]
#r0 - r2 : [1.0, 0.0, 0.0, 1.0]
#r0 - r3 : [1.9553522243833723, 1.3355500000000005, 1.0930010000000001, -0.91927]
#r0 - r4 : [1.4258563194855929, 1.3355500000000005, -0.16516899999999968, -0.471266]
alpha	0x	0y	0z	1x	1y	1z	2x	2y	2z	3x	3y	3z	4x	4y	4z
0.1000000000	0.0019651883	0.0016943750	-0.0070797063	0.0019651883	0.0016943750	-0.0070797063	0.0019615279	0.0016781996	-2.0085539623	0.1292831081	0.1059460904	0.0391962352	0.3215754833	-0.0378531791	0.2258008695
0.2000000000	0.0010273294	0.0009278353	-0.0114348290	0.0010273294	0.0009278353	-0.0114348290	0.0010243195	0.0009121921	-2.0129061562	0.1283454325	0.1051795581	0.0348441039	0.3206379726	-0.0386194693	0.2214471576
0.3000000000	0.0002681981	0.0002734629	-0.0135845916	0.0002681981	0.0002734629	-0.0135845916	0.0002651419	0.0002577667	-2.0150558873	0.1275870897	0.1045258616	0.0326952115	0.3198794718	-0.0392737340	0.2192977829
0.4000000000	0.0000504509	0.0000798133	-0.0141396804	0.0000504509	0.0000798133	-0.0141396804	0.0000463331	0.0000631665	-2.0156136535	0.1273694457	0.1043323263	0.0321401989	0.3196617991	-0.0394673739	0.2187427222
0.5000000000	0.0000164654	0.0000493515	-0.0142253602	0.0000164654	0.0000493515	-0.0142253602	0.0000116973	0.0000321214	-2.0157009716	0.1273354628	0.1043018684	0.0320545212	0.3196278152	-0.0394978356	0.2186570430
0.6000000000	0.0000133459	0.0000465530	-0.0142332199	0.0000133459	0.0000465530	-0.0142332199	0.0000084204	0.0000291817	-2.0157092281	0.1273323433	0.1042990699	0.0320466614	0.3196246957	-0.0395006341	0.2186491833
0.7000000000	0.0000131798	0.0000464039	-0.0142336386	0.0000131798	0.0000464039	-0.0142336386	0.0000082361	0.0000290163	-2.0157096925	0.1273321772	0.1042989209	0.0320462428	0.3196245295	-0.0395007831	0.2186487646
0.8000000000	0.0000131747	0.0000463993	-0.0142336519	0.0000131747	0.0000463993	-0.0142336519	0.0000082300	0.0000290108	-2.0157097083	0.1273321721	0.1042989163	0.0320462296	0.3196245245	-0.0395007877	0.2186487514
0.9000000000	0.0000131740	0.0000463955	-0.0142336930	0.0000131740	0.0000463955	-0.0142336930	0.0000082295	0.0000290084	-2.0157097340	0.1273321691	0.1042989115	0.0320462021	0.3196245212	-0.0395007897	0.2186487175
1.0000000000	0.0000131616	0.0000463400	-0.0142344518	0.0000131616	0.0000463400	-0.0142344518	0.0000082217	0.0000289737	-2.0157102071	0.1273321073	0.1042988265	0.0320457064	0.3196244600	-0.0395008171	0.2186480906
1.1000000000	0.0000130613	0.0000459689	-0.0142408345	0.0000130613	0.0000459689	-0.0142408345	0.0000081592	0.0000287424	-2.0157141867	0.1273315428	0.1042981259	0.0320416344	0.3196239467	-0.0395009888	0.2186428134
1.2000000000	0.0000126364	0.0000445584	-0.0142719059	0.0000126364	0.0000445584	-0.0142719059	0.0000078943	0.0000278629	-2.0157335594	0.1273286293	0.1042947669	0.0320222573	0.3196214873	-0.0395015820	0.2186171369
1.3000000000	0.0000114982	0.0000409908	-0.0143746342	0.0000114982	0.0000409908	-0.0143746342	0.0000071846	0.0000256386	-2.0157976094	0.1273185517	0.1042837840	0.0319595281	0.3196135224	-0.0395028698	0.2185323641
1.4000000000	0.0000093230	0.0000343281	-0.0146315701	0.0000093230	0.0000343281	-0.0146315701	0.0000058284	0.0000214845	-2.0159578062	0.1272923308	0.1042565008	0.0318056537	0.3195939619	-0.0395046880	0.2183208232
1.5000000000	0.0000061118	0.0000244654	-0.0151553455	0.0000061118	0.0000244654	-0.0151553455	0.0000038262	0.0000153351	-2.0162843727	0.1272367309	0.1042009586	0.0314976266	0.3195544885	-0.0395060432	0.2178910477
