#real_cutoff=4
#reciprocal_cutoff=2
#r0 - r0 : [0.0, 0.0, 0.0, 0.0]
#r0 - r1 : [0.0, 0.0, 0.0, 0.0]
#r0 - r2 : [1.0, 0.0, 0.0, 1.0]
#r0 - r3 : [1.9553522243833723, 1.3355500000000005, 1.0930010000000001, -0.91927]
#r0 - r4 : [1.4258563194855929, 1.3355500000000005, -0.16516899999999968, -0.471266]
alpha	0x	0y	0z	1x	1y	1z	2x	2y	2z	3x	3y	3z	4x	4y	4z
0.1000000000	0.0020364078	0.0017500086	-0.0063495051	0.0020364078	0.0017500086	-0.0063495051	0.0020333385	0.0017343992	-2.0078233143	0.1293539751	0.1060014897	0.0399238671	0.3216462593	-0.0377977575	0.2265298806
0.2000000000	0.0014277788	0.0012605478	-0.0100165783	0.0014277788	0.0012605478	-0.0100165783	0.0014252855	0.0012454026	-2.0114871465	0.1287449517	0.1055115506	0.0362605589	0.3210376191	-0.0382869497	0.2228645796
0.3000000000	0.0005939040	0.0005580266	-0.0127171138	0.0005939040	0.0005580266	-0.0127171138	0.0005921272	0.0005434784	-2.0141852133	0.1279122812	0.1048099348	0.0335622642	0.3202047838	-0.0389892258	0.2201650835
0.4000000000	0.0001686864	0.0001853060	-0.0138400195	0.0001686864	0.0001853060	-0.0138400195	0.0001661536	0.0001700797	-2.0153099968	0.1274876206	0.1044377459	0.0324398156	0.3197799922	-0.0393618865	0.2190423680
0.5000000000	0.0000422830	0.0000724979	-0.0141602846	0.0000422830	0.0000724979	-0.0141602846	0.0000384138	0.0000560741	-2.0156336312	0.1273612782	0.1043250112	0.0321195947	0.3196536314	-0.0394746894	0.2187221180
0.6000000000	0.0000169884	0.0000498209	-0.0142240414	0.0000169884	0.0000498209	-0.0142240414	0.0000123365	0.0000326949	-2.0156993603	0.1273359859	0.1043023377	0.0320558397	0.3196283383	-0.0394973663	0.2186583616
0.7000000000	0.0000135180	0.0000467075	-0.0142327857	0.0000135180	0.0000467075	-0.0142327857	0.0000086229	0.0000293634	-2.0157087173	0.1273325155	0.1042992244	0.0320470955	0.3196248679	-0.0395004796	0.2186496174
0.8000000000	0.0000131956	0.0000464181	-0.0142335993	0.0000131956	0.0000464181	-0.0142335993	0.0000082561	0.0000290342	-2.0157096423	0.1273321930	0.1042989350	0.0320462823	0.3196245453	-0.0395007690	0.2186488040
0.9000000000	0.0000131749	0.0000463963	-0.0142336908	0.0000131749	0.0000463963	-0.0142336908	0.0000082307	0.0000290095	-2.0157097309	0.1273321700	0.1042989122	0.0320462043	0.3196245220	-0.0395007889	0.2186487197
1.0000000000	0.0000131617	0.0000463400	-0.0142344517	0.0000131617	0.0000463400	-0.0142344517	0.0000082218	0.0000289738	-2.0157102070	0.1273321073	0.1042988265	0.0320457064	0.3196244601	-0.0395008171	0.2186480907
1.1000000000	0.0000130613	0.0000459689	-0.0142408345	0.0000130613	0.0000459689	-0.0142408345	0.0000081592	0.0000287424	-2.0157141867	0.1273315428	0.1042981259	0.0320416345	0.3196239467	-0.0395009888	0.2186428134
1.2000000000	0.0000126364	0.0000445584	-0.0142719059	0.0000126364	0.0000445584	-0.0142719059	0.0000078943	0.0000278629	-2.0157335594	0.1273286293	0.1042947669	0.0320222573	0.3196214873	-0.0395015820	0.2186171369
1.3000000000	0.0000114982	0.0000409908	-0.0143746342	0.0000114982	0.0000409908	-0.0143746342	0.0000071846	0.0000256386	-2.0157976094	0.1273185517	0.1042837840	0.0319595281	0.3196135224	-0.0395028698	0.2185323641
1.4000000000	0.0000093230	0.0000343281	-0.0146315701	0.0000093230	0.0000343281	-0.0146315701	0.0000058284	0.0000214845	-2.0159578062	0.1272923308	0.1042565008	0.0318056537	0.3195939619	-0.0395046880	0.2183208232
1.5000000000	0.0000061118	0.0000244654	-0.0151553454	0.0000061118	0.0000244654	-0.0151553454	0.0000038262	0.0000153351	-2.0162843727	0.1272367309	0.1042009586	0.0314976265	0.3195544886	-0.0395060432	0.2178910477
1.6000000000	0.0000022428	0.0000123061	-0.0160726391	0.0000022428	0.0000123061	-0.0160726391	0.0000014139	0.0000077537	-2.0168562779	0.1271350697	0.1041031217	0.0309675758	0.3194851989	-0.0395050829	0.2171419468
1.7000000000	-0.0000017151	-0.0000006285	-0.0175058827	-0.0000017151	-0.0000006285	-0.0175058827	-0.0000010542	-0.0000003118	-2.0177497817	0.1269682892	0.1039480170	0.0301539214	0.3193750776	-0.0394994283	0.2159789078
1.8000000000	-0.0000052627	-0.0000128103	-0.0195594552	-0.0000052627	-0.0000128103	-0.0195594552	-0.0000032669	-0.0000079096	-2.0190296722	0.1267159194	0.1037203730	0.0290095187	0.3192122029	-0.0394866221	0.2143259152
1.9000000000	-0.0000081463	-0.0000231673	-0.0223127539	-0.0000081463	-0.0000231673	-0.0223127539	-0.0000050660	-0.0000143730	-2.0207445767	0.1263569453	0.1034048728	0.0275055626	0.3189838869	-0.0394644544	0.2121314696
2.0000000000	-0.0000104175	-0.0000312479	-0.0258192792	-0.0000104175	-0.0000312479	-0.0258192792	-0.0000064818	-0.0000194213	-2.0229257071	0.1258706879	0.1029863409	0.0256318631	0.3186769436	-0.0394310938	0.2093690069
2.1000000000	-0.0000124358	-0.0000371543	-0.0301096808	-0.0000124358	-0.0000371543	-0.0301096808	-0.0000077305	-0.0000231162	-2.0255877383	0.1252376922	0.1024500646	0.0233947738	0.3182781152	-0.0393850783	0.2060337084
2.2000000000	-0.0000148823	-0.0000413857	-0.0351967955	-0.0000148823	-0.0000413857	-0.0351967955	-0.0000092133	-0.0000257598	-2.0287306955	0.1244405042	0.1017822449	0.0208139789	0.3177745557	-0.0393252686	0.2021375851
2.3000000000	-0.0000188177	-0.0000447128	-0.0410812264	-0.0000188177	-0.0000447128	-0.0410812264	-0.0000115335	-0.0000278070	-2.0323421636	0.1234642070	0.1009704599	0.0179189839	0.3171542409	-0.0392508254	0.1977042249
2.4000000000	-0.0000257759	-0.0000481333	-0.0477565246	-0.0000257759	-0.0000481333	-0.0477565246	-0.0000155238	-0.0000298226	-2.0363994903	0.1222966615	0.1000040186	0.0147458047	0.3164062231	-0.0391612314	0.1927640516
2.5000000000	-0.0000378652	-0.0000529088	-0.0552134365	-0.0000378652	-0.0000529088	-0.0552134365	-0.0000222654	-0.0000324774	-2.0408718632	0.1209284772	0.0988741442	0.0113340869	0.3155207113	-0.0390563409	0.1873505175
2.6000000000	-0.0000578475	-0.0000606478	-0.0634429821	-0.0000578475	-0.0000606478	-0.0634429821	-0.0000330826	-0.0000365649	-2.0457222225	0.1193527978	0.0975739921	0.0077247404	0.3144890141	-0.0389364298	0.1814973526
2.7000000000	-0.0000891749	-0.0000733990	-0.0724383577	-0.0000891749	-0.0000733990	-0.0724383577	-0.0000495059	-0.0000430145	-2.0509089940	0.1175649956	0.0960985507	0.0039580900	0.3133034018	-0.0388022244	0.1752368114
2.8000000000	-0.0001359755	-0.0000937225	-0.0821958087	-0.0001359755	-0.0000937225	-0.0821958087	-0.0000732064	-0.0000528893	-2.0563876234	0.1155623575	0.0944444819	0.0000725113	0.3119569443	-0.0386548990	0.1685987537
2.9000000000	-0.0002029916	-0.0001247214	-0.0927147076	-0.0002029916	-0.0001247214	-0.0927147076	-0.0001059109	-0.0000673611	-2.0621118927	0.1133438118	0.0926099511	-0.0038965027	0.3104433683	-0.0384960402	0.1616103561
3.0000000000	-0.0002954770	-0.0001700285	-0.1039970965	-0.0002954770	-0.0001700285	-0.1039970965	-0.0001493079	-0.0000876673	-2.0680350037	0.1109097210	0.0905944780	-0.0079169013	0.3087569546	-0.0383275846	0.1542962523
3.1000000000	-0.0004190670	-0.0002337506	-0.1160469368	-0.0004190670	-0.0002337506	-0.1160469368	-0.0002049581	-0.0001150541	-2.0741104260	0.1082617398	0.0883988203	-0.0119603319	0.3068924833	-0.0381517397	0.1466789222
3.2000000000	-0.0005796315	-0.0003203795	-0.1288692612	-0.0005796315	-0.0003203795	-0.1288692612	-0.0002742156	-0.0001507158	-2.0802925205	0.1054027296	0.0860248923	-0.0160021554	0.3048452206	-0.0379708947	0.1387791920
3.3000000000	-0.0007831234	-0.0004346807	-0.1424693679	-0.0007831234	-0.0004346807	-0.1424693679	-0.0003581672	-0.0001957368	-2.0865369613	0.1023367105	0.0834757091	-0.0200212905	0.3026109362	-0.0377875319	0.1306167446
3.4000000000	-0.0010354296	-0.0005815689	-0.1568521418	-0.0010354296	-0.0005815689	-0.1568521418	-0.0004575925	-0.0002510414	-2.0928009893	0.0990688348	0.0807553459	-0.0239999442	0.3001859391	-0.0376041421	0.1222105769
3.5000000000	-0.0013422336	-0.0007659822	-0.1720215414	-0.0013422336	-0.0007659822	-0.1720215414	-0.0005729432	-0.0003173563	-2.0990435319	0.0956053671	0.0778689036	-0.0279232792	0.2975671195	-0.0374231498	0.1135793700
3.6000000000	-0.0017088919	-0.0009927596	-0.1879802592	-0.0017088919	-0.0009927596	-0.1879802592	-0.0007043414	-0.0003951858	-2.1052252259	0.0919536613	0.0748224721	-0.0317790594	0.2947519896	-0.0372468495	0.1047417618
3.7000000000	-0.0021403301	-0.0012665307	-0.2047295411	-0.0021403301	-0.0012665307	-0.2047295411	-0.0008515934	-0.0004848007	-2.1113083730	0.0881221265	0.0716230858	-0.0355573024	0.2917387173	-0.0370773546	0.0957165226
3.8000000000	-0.0026409576	-0.0015916181	-0.2222691393	-0.0026409576	-0.0015916181	-0.2222691393	-0.0010142153	-0.0005862391	-2.1172568565	0.0841201780	0.0682786683	-0.0392499570	0.2885261495	-0.0369165584	0.0865226470
3.9000000000	-0.0032146032	-0.0019719566	-0.2405973684	-0.0032146032	-0.0019719566	-0.2405973684	-0.0011914672	-0.0006993171	-2.1230360379	0.0799581731	0.0647979670	-0.0428506188	0.2851138257	-0.0367661079	0.0771793756
4.0000000000	-0.0038644707	-0.0024110301	-0.2597112382	-0.0038644707	-0.0024110301	-0.2597112382	-0.0013823922	-0.0008236479	-2.1286126474	0.0756473328	0.0611904759	-0.0463542855	0.2815019815	-0.0366273872	0.0677061633
4.1000000000	-0.0045931121	-0.0029118250	-0.2796066354	-0.0045931121	-0.0029118250	-0.2796066354	-0.0015858582	-0.0009586653	-2.1339546793	0.0711996490	0.0574663494	-0.0497571544	0.2776915433	-0.0365015119	0.0581226101
4.2000000000	-0.0054024182	-0.0034768000	-0.3002785346	-0.0054024182	-0.0034768000	-0.3002785346	-0.0018005995	-0.0011036518	-2.1390312969	0.0666277817	0.0536363092	-0.0530564562	0.2736841169	-0.0363893309	0.0484483655
4.3000000000	-0.0062936241	-0.0041078712	-0.3217212212	-0.0062936241	-0.0041078712	-0.3217212212	-0.0020252567	-0.0012577673	-2.1438127497	0.0619449485	0.0497115457	-0.0562503222	0.2694819702	-0.0362914356	0.0387030192
4.4000000000	-0.0072673272	-0.0048064096	-0.3439285144	-0.0072673272	-0.0048064096	-0.3439285144	-0.0022584133	-0.0014200783	-2.1482703051	0.0571648085	0.0457036162	-0.0593376779	0.2650880132	-0.0362081741	0.0289059854
4.5000000000	-0.0083235156	-0.0055732515	-0.3668939802	-0.0083235156	-0.0055732515	-0.3668939802	-0.0024986293	-0.0015895858	-2.1523761934	0.0523013430	0.0416243418	-0.0623181576	0.2605057742	-0.0361396705	0.0190763881
4.6000000000	-0.0094616047	-0.0064087166	-0.3906111304	-0.0094616047	-0.0064087166	-0.3906111304	-0.0027444692	-0.0017652510	-2.1561035668	0.0473687362	0.0374857056	-0.0651920362	0.2557393758	-0.0360858465	0.0092329501
4.7000000000	-0.0106804804	-0.0073126354	-0.4150736013	-0.0106804804	-0.0073126354	-0.4150736013	-0.0029945269	-0.0019460183	-2.1594264699	0.0423812579	0.0332997524	-0.0679601710	0.2507935093	-0.0360464457	-0.0006061088
4.8000000000	-0.0119785463	-0.0082843816	-0.4402753129	-0.0119785463	-0.0082843816	-0.4402753129	-0.0032474456	-0.0021308362	-2.1623198221	0.0373531484	0.0290784921	-0.0706239522	0.2456734082	-0.0360210585	-0.0104231646
4.9000000000	-0.0133537742	-0.0093229094	-0.4662106055	-0.0133537742	-0.0093229094	-0.4662106055	-0.0035019331	-0.0023186738	-2.1647594099	0.0322985093	0.0248338077	-0.0731852579	0.2403848225	-0.0360091478	-0.0202012708
5.0000000000	-0.0148037549	-0.0104267929	-0.4928743557	-0.0148037549	-0.0104267929	-0.4928743557	-0.0037567747	-0.0025085357	-2.1667218884	0.0272312003	0.0205773689	-0.0756464115	0.2349339910	-0.0360100741	-0.0299242284
