#real_cutoff=3
#reciprocal_cutoff=2
#r0 - r0 : [0.0, 0.0, 0.0, 0.0]
#r0 - r1 : [0.0, 0.0, 0.0, 0.0]
#r0 - r2 : [0.9999999999999998, 0.0, 0.0, 0.9999999999999998]
#r0 - r3 : [1.9553522243833716, 1.3355499999999996, 1.0930010000000001, -0.91927]
#r0 - r4 : [1.425856319485592, 1.3355499999999996, -0.16516899999999968, -0.47126599999999996]
alpha	0x	0y	0z	1x	1y	1z	2x	2y	2z	3x	3y	3z	4x	4y	4z
0.1000000000	0.0009760398	0.0008369597	-0.0027134911	0.0009760398	0.0008369597	-0.0027134911	0.0009754712	0.0008327116	-2.0031232763	0.1293665133	0.1059277885	0.0426730120	0.3211258887	-0.0387627661	0.2294748654
0.2000000000	0.0008403237	0.0007295134	-0.0039191445	0.0008403237	0.0007295134	-0.0039191445	0.0008398547	0.0007253442	-2.0043281211	0.1292305275	0.1058200901	0.0414684548	0.3209900610	-0.0388701489	0.2282697233
0.3000000000	0.0005275937	0.0004734244	-0.0052379411	0.0005275937	0.0004734244	-0.0052379411	0.0005274658	0.0004695346	-2.0056454907	0.1289179847	0.1055640791	0.0401510249	0.3206775661	-0.0391261167	0.2269515720
0.4000000000	0.0002434311	0.0002313257	-0.0060824667	0.0002434311	0.0002313257	-0.0060824667	0.0002434738	0.0002275777	-2.0064894517	0.1286342883	0.1053223572	0.0393070933	0.3203937873	-0.0393681453	0.2261073157
0.5000000000	0.0000894154	0.0000961077	-0.0064862799	0.0000894154	0.0000961077	-0.0064862799	0.0000891588	0.0000920915	-2.0068940111	0.1284804681	0.1051873298	0.0389034322	0.3202399203	-0.0395033434	0.2257035646
0.6000000000	0.0000293441	0.0000425654	-0.0066387081	0.0000293441	0.0000425654	-0.0066387081	0.0000285739	0.0000380891	-2.0070477341	0.1284204306	0.1051338275	0.0387510279	0.3201798729	-0.0395568829	0.2255511446
0.7000000000	0.0000113059	0.0000264059	-0.0066841941	0.0000113059	0.0000264059	-0.0066841941	0.0000101381	0.0000215731	-2.0070942215	0.1284023955	0.1051176723	0.0387055441	0.3201618368	-0.0395730422	0.2255056592
0.8000000000	0.0000070862	0.0000226238	-0.0066948171	0.0000070862	0.0000226238	-0.0066948171	0.0000057246	0.0000176174	-2.0071053320	0.1283981770	0.1051138908	0.0386949217	0.3201576182	-0.0395768241	0.2254950365
0.9000000000	0.0000063195	0.0000219368	-0.0066967592	0.0000063195	0.0000219368	-0.0066967592	0.0000048931	0.0000168729	-2.0071074316	0.1283974106	0.1051132038	0.0386929844	0.3201568516	-0.0395775104	0.2254930969
1.0000000000	0.0000062056	0.0000218147	-0.0066973852	0.0000062056	0.0000218147	-0.0066973852	0.0000047650	0.0000167432	-2.0071080121	0.1283972819	0.1051130725	0.0386924378	0.3201567239	-0.0395776242	0.2254925098
