#real_cutoff=2
#reciprocal_cutoff=4
alpha	0x	0y	0z	1x	1y	1z	2x	2y	2z	3x	3y	3z	4x	4y	4z
0.1000000000	0.0000000000	-0.0000000000	0.0288905952	-3.9989322420	0.0000000000	-1.4585355896	3.9989322420	0.0000000000	-1.4585355896	0.0000000000	3.9989322420	-1.4585355896	0.0000000000	-3.9989322420	-1.4585355896
0.2000000000	-0.0000000000	-0.0000000000	0.0264597701	-3.9989311420	0.0000000000	-1.4609649145	3.9989311420	0.0000000000	-1.4609649145	-0.0000000000	3.9989311420	-1.4609649145	-0.0000000000	-3.9989311420	-1.4609649145
0.3000000000	0.0000000000	-0.0000000000	0.0244606711	-3.9989292203	0.0000000000	-1.4629639032	3.9989292203	0.0000000000	-1.4629639032	0.0000000000	3.9989292203	-1.4629639032	-0.0000000000	-3.9989292203	-1.4629639032
0.4000000000	-0.0000000000	-0.0000000000	0.0238689932	-3.9989283690	0.0000000000	-1.4635582188	3.9989283690	0.0000000000	-1.4635582188	-0.0000000000	3.9989283690	-1.4635582188	0.0000000000	-3.9989283690	-1.4635582188
0.5000000000	-0.0000000000	0.0000000000	0.0238032426	-3.9989282412	-0.0000000000	-1.4636252702	3.9989282412	-0.0000000000	-1.4636252702	-0.0000000000	3.9989282412	-1.4636252702	0.0000000000	-3.9989282412	-1.4636252702
0.6000000000	-0.0000000000	-0.0000000000	0.0238127755	-3.9989280304	-0.0000000000	-1.4636164007	3.9989280304	-0.0000000000	-1.4636164007	-0.0000000000	3.9989280304	-1.4636164007	0.0000000000	-3.9989280304	-1.4636164007
0.7000000000	0.0000000000	0.0000000000	0.0238364286	-3.9989273116	0.0000000000	-1.4635935798	3.9989273116	0.0000000000	-1.4635935798	0.0000000000	3.9989273116	-1.4635935798	-0.0000000000	-3.9989273116	-1.4635935798
0.8000000000	0.0000000000	-0.0000000000	0.0238558099	-3.9989262863	-0.0000000000	-1.4635746724	3.9989262863	0.0000000000	-1.4635746724	0.0000000000	3.9989262863	-1.4635746724	0.0000000000	-3.9989262863	-1.4635746724
0.9000000000	-0.0000000000	-0.0000000000	0.0238648415	-3.9989254939	0.0000000000	-1.4635657178	3.9989254939	0.0000000000	-1.4635657178	0.0000000000	3.9989254939	-1.4635657178	0.0000000000	-3.9989254939	-1.4635657178
1.0000000000	-0.0000000000	-0.0000000000	0.0238676317	-3.9989251054	-0.0000000000	-1.4635628870	3.9989251054	-0.0000000000	-1.4635628870	-0.0000000000	3.9989251054	-1.4635628870	0.0000000000	-3.9989251054	-1.4635628870
