#real_cutoff=5
#reciprocal_cutoff=6
#r0 - r0 : [0.0, 0.0, 0.0, 0.0]
#r0 - r1 : [0.0, 0.0, 0.0, 0.0]
#r0 - r2 : [0.9999999999999998, 0.0, 0.0, 0.9999999999999998]
#r0 - r3 : [1.9553522243833716, 1.3355499999999996, 1.0930010000000001, -0.91927]
#r0 - r4 : [1.425856319485592, 1.3355499999999996, -0.16516899999999968, -0.47126599999999996]
alpha	0x	0y	0z	1x	1y	1z	2x	2y	2z	3x	3y	3z	4x	4y	4z
0.1000000000	0.0013165227	0.0011350989	-0.0047428501	0.0013165227	0.0011350989	-0.0047428501	0.0013146051	0.0011266624	-2.0054888996	0.1293548398	0.1059505604	0.0409208167	0.3212897247	-0.0384473630	0.2276677405
0.2000000000	0.0006882304	0.0006215772	-0.0076604421	0.0006882304	0.0006215772	-0.0076604421	0.0006866465	0.0006134136	-2.0084049893	0.1287266417	0.1054370425	0.0380047591	0.3206616112	-0.0389607568	0.2247508721
0.3000000000	0.0001796718	0.0001831988	-0.0091006150	0.0001796718	0.0001831988	-0.0091006150	0.0001780641	0.0001750080	-2.0098451464	0.1282184875	0.1049990109	0.0365650324	0.3201533760	-0.0393990800	0.2233108981
0.4000000000	0.0000337982	0.0000534687	-0.0094724812	0.0000337982	0.0000534687	-0.0094724812	0.0000316458	0.0000447901	-2.0102183861	0.1280726668	0.1048693394	0.0361932052	0.3200075405	-0.0395288051	0.2229390463
0.5000000000	0.0000110305	0.0000330616	-0.0095298800	0.0000110305	0.0000330616	-0.0095298800	0.0000085447	0.0000240840	-2.0102766250	0.1280499005	0.1048489344	0.0361358075	0.3199847737	-0.0395492120	0.2228816478
0.6000000000	0.0000089407	0.0000311869	-0.0095351454	0.0000089407	0.0000311869	-0.0095351454	0.0000063742	0.0000221369	-2.0102820937	0.1280478107	0.1048470596	0.0361305421	0.3199826839	-0.0395510868	0.2228763824
0.7000000000	0.0000088294	0.0000310870	-0.0095354258	0.0000088294	0.0000310870	-0.0095354258	0.0000062536	0.0000220287	-2.0102823975	0.1280476994	0.1048469597	0.0361302617	0.3199825726	-0.0395511867	0.2228761020
0.8000000000	0.0000088260	0.0000310839	-0.0095354348	0.0000088260	0.0000310839	-0.0095354348	0.0000062497	0.0000220252	-2.0102824077	0.1280476960	0.1048469567	0.0361302528	0.3199825692	-0.0395511897	0.2228760931
0.9000000000	0.0000088256	0.0000310814	-0.0095354623	0.0000088256	0.0000310814	-0.0095354623	0.0000062494	0.0000220233	-2.0102824272	0.1280476943	0.1048469536	0.0361302325	0.3199825674	-0.0395511913	0.2228760693
1.0000000000	0.0000088173	0.0000310442	-0.0095359706	0.0000088173	0.0000310442	-0.0095359706	0.0000062435	0.0000219970	-2.0102827867	0.1280476593	0.1048469001	0.0361298633	0.3199825337	-0.0395512139	0.2228756297
1.1000000000	0.0000087500	0.0000307956	-0.0095402465	0.0000087500	0.0000307956	-0.0095402465	0.0000061959	0.0000218212	-2.0102858102	0.1280473405	0.1048464705	0.0361268129	0.3199822512	-0.0395513586	0.2228719299
1.2000000000	0.0000084654	0.0000298506	-0.0095610620	0.0000084654	0.0000298506	-0.0095610620	0.0000059947	0.0000211531	-2.0103005289	0.1280457044	0.1048444570	0.0361122130	0.3199809061	-0.0395518775	0.2228539262
1.3000000000	0.0000077029	0.0000274606	-0.0096298819	0.0000077029	0.0000274606	-0.0096298819	0.0000054555	0.0000194631	-2.0103491920	0.1280400781	0.1048380046	0.0360646907	0.3199765842	-0.0395530791	0.2227944651
1.4000000000	0.0000062457	0.0000229972	-0.0098020089	0.0000062457	0.0000229972	-0.0098020089	0.0000044251	0.0000163069	-2.0104709040	0.1280255164	0.1048222480	0.0359475250	0.3199660559	-0.0395550157	0.2226460052
